French,English,Total,OK
partie,part,0,0
histoire,history,0,0
chercher,search,0,0
seulement,only,0,0
police,police,1,1
pensais,thought,1,0
aide,help,1,1
demande,request,0,0
genre,kind,0,0
mois,month,0,0
frère,brother,0,0
laisser,let,0,0
car,because,0,0
mettre,to put,0,0
aucun,no,1,0
laisse,leash,1,0
eux,them,1,1
ville,city,0,0
chaque,each,0,0
parlé,speak,1,1
arrivé,come,1,0
devrait,should,0,0
bébé,baby,0,0
longtemps,long time,0,0
heures,hours,0,0
vont,will,0,0
pendant,while,1,0
revoir,meet again,1,1
aucune,any,1,1
place,square,0,0
parle,speak,1,1
compris,understood,0,0
savais,knew,0,0
étaient,were,0,0
attention,Warning,0,0
voici,here is,1,0
pourrais,could,1,1
affaire,case,0,0
donner,give,1,1
type,type,0,0
leurs,their,0,0
donné,given,0,0
train,train,0,0
corps,body,0,0
endroit,place,2,0
yeux,eyes,0,0
façon,way,0,0
écoute,listen,1,1
dont,whose,1,1
trouve,find,0,0
premier,first,1,1
perdu,lost,0,0
main,hand,0,0
première,first,0,0
côté,side,0,0
pouvoir,power,1,0
vieux,old,0,0
sois,be,0,0
tiens,here,1,1
matin,morning,1,1
tellement,so much,0,0
enfant,child,0,0
point,point,0,0
venu,came,1,1
suite,after,0,0
pardon,sorry,0,0
venez,come,1,0
devant,in front of,0,0
vers,towards,0,0
minutes,minutes,1,1
demandé,request,0,0
chambre,bedroom,1,1
mis,placed,0,0
belle,beautiful,0,0
droit,law,0,0
aimerais,would like to,0,0
aujourd'hui,today,0,0
mari,husband,0,0
cause,cause,0,0
enfin,finally,0,0
espère,hope,1,1
eau,water,1,1
attendez,Wait,0,0
parti,left,0,0
nouvelle,new,0,0
boulot,job,0,0
arrêter,Stop,0,0
dirait,would say,1,1
terre,Earth,1,1
compte,account,1,1
donne,given,0,0
loin,far,0,0
fin,end,0,0
croire,believe,0,0
chérie,sweetheart,2,0
gros,large,0,0
plutôt,rather,0,0
aura,will have,0,0
filles,girls,0,0
jouer,to play,0,0
bureau,office,1,1
